Entity,Code,Year,Life expectancy
China,CHN,1992,68.7
China,CHN,2023,78.6
India,IND,1992,59.5
India,IND,2023,67.7
Japan,JPN,1992,79.3
Japan,JPN,2023,84.8
Korea,KRA,1992,73.5
Korea,KRA,2023,81.8
Thailand,TAL,1992,66.7
Thailand,TAL,2023,75.6
